nohup: ignoring input
=== Linux 监控采集器已启动 ===
[系统] 数据库初始化完成: monitor.db
开始循环采集 (按 Ctrl+C 停止)...

[06:48:40] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:48:46] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:48:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:48:58] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:04] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:10] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:49:16] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:22] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:28] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:34] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:40] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:46] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:49:58] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:04] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:10] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:50:16] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:22] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:28] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:34] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:40] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:46] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:50:58] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:04] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:10] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:16] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:22] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:28] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:34] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:40] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:46] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:51:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:51:58] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:52:04] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:52:10] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:52:16] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:52:22] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:52:28] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:52:34] CPU: 1.5% | 内存: 42.3% | 磁盘: 31.4%
[06:52:40] CPU: 0.0% | 内存: 41.8% | 磁盘: 31.4%
[06:52:46] CPU: 0.0% | 内存: 42.2% | 磁盘: 31.4%
[06:52:52] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:52:59] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:53:05] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:53:11] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:53:17] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:53:23] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:53:29] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:53:35] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:53:41] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:53:47] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:53:53] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:53:59] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:54:05] CPU: 0.5% | 内存: 39.8% | 磁盘: 31.4%
[06:54:11] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:54:17] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:54:23] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:54:29] CPU: 0.0% | 内存: 39.8% | 磁盘: 31.4%
[06:54:35] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:54:41] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:54:47] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:54:53] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:54:59] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:55:05] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:55:11] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:55:17] CPU: 1.5% | 内存: 41.7% | 磁盘: 31.4%
[06:55:23] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
[06:55:29] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:55:35] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:55:41] CPU: 0.0% | 内存: 41.7% | 磁盘: 31.4%
[06:55:47] CPU: 0.5% | 内存: 41.7% | 磁盘: 31.4%
